MA,FA,Cs,Pb,Sn,Br,Cl,I,Bandgap,HOMO,LUMO,Light source,Illuminance (lux),PCE,Voc,Jsc(?A cm-2),FF
0,0,1,1,0,0.66,0,0.33,1.9,0.24,0.96,LED,1000,30.73,1.06,126.31,0.76
0,0,1,1,0,0.66,0,0.33,1.9,0.24,0.96,LED,500,26.69,1.02,57.31,0.7626
0,0,1,1,0,0.66,0,0.33,1.9,0.24,0.96,LED,200,25.21,0.97,22.87,0.7572
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,200,21.4,0.84,34.5,0.597
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,400,21.91,0.873,63.3,0.614
1,0,0,1,0,0,0,1,1.53,0.2,0.38,LED,200,25,0.866,33.3,0.7
1,0,0,1,0,0,0,1,1.53,0.2,0.38,LED,400,26.9,0.895,64.5,0.72
1,0,0,1,0,0,0,1,1.53,0.2,0.43,FL,200,24,0.705,32,0.69
1,0,0,1,0,0,0,1,1.53,0.2,0.43,FL,400,25.4,0.775,58,0.72
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,200,17.4,0.659,28,0.63
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,400,18.9,0.702,56,0.63
0.36,0.54,0.1,1,0,0.4,0,0.6,1.75,0.45,-0.08,LED,1000,35.6,1.08,111,0.83
0.36,0.54,0.1,1,0,0.4,0,0.6,1.75,0.45,-0.08,FL,1000,32.7,1.09,104.8,0.82
1,0,0,1,0,0,0,1,1.53,0.2,0.43,FL,1000,33.9,0.99,139,0.77
0,0,1,1,0,0.33,0,0.66,1.8,0.8,-0.1,LED,1000,19.05,0.64,130,0.63
1,0,1,1,0,0,0,1,1.53,0.2,0.43,LED,1000,29.2,0.764,176.1,0.6
1,0,1,1,0,0.05,0,0.95,1.6,0.22,0.3,LED,1000,32.5,0.803,171.5,0.661
1,0,1,1,0,0.1,0,0.9,1.63,0.25,0.35,LED,1000,34.5,0.821,170.8,0.668
1,0,1,1,0,0.2,0,0.8,1.7,0.4,0.39,LED,1000,15,0.679,118,0.52
1,0,1,1,0,0.3,0,0.7,1.72,0.5,0.41,LED,1000,3.9,0.561,43.8,0.442
0.95,0.05,0,1,0,0.033,0,0.966,1.62,0.64,0.28,LED,400,23.33,0.711,122,0.724
0.95,0.05,0,1,0,0.033,0,0.966,1.62,0.64,0.28,LED,600,25.37,0.865,162,0.735
0.95,0.05,0,1,0,0.033,0,0.966,1.62,0.64,0.28,LED,800,25.56,0.926,205,0.731
0.95,0.05,0,1,0,0.033,0,0.966,1.62,0.64,0.28,LED,1000,25.74,0.967,251,0.733
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,1000,37.26,0.82,243,0.52
1,0,0,1,0,0,0,1,1.53,0.2,-0.4,LED,1000,29.44,0.86,135,0.67
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,1000,18.65,0.83,95,0.65
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,100,19.5,0.58,14,0.66
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,500,25.7,0.69,70,0.74
0.85,0,0.15,1,0,0,0,1,1.59,0.5,0.29,FL,200,22.68,0.785,22.7,0.75
0.85,0,0.15,1,0,0,0,1,1.59,0.5,0.29,FL,500,22.96,0.813,54.3,0.79
0.85,0,0.15,1,0,0,0,1,1.59,0.5,0.29,FL,600,22.63,0.82,63.97,0.79
0.85,0,0.15,1,0,0,0,1,1.59,0.5,0.29,FL,1000,23.08,0.83,108.3,0.8
0.85,0,0.15,1,0,0,0,1,1.59,0.5,0.29,FL,1500,22.9,0.841,156.59,0.8
